Actual Class,Predicted Class,Confidence
laerm,vogel,0.8727089166641235
laerm,laerm,0.9911907911300659
laerm,laerm,0.9813185334205627
laerm,laerm,0.9923563003540039
laerm,laerm,0.8088347315788269
laerm,laerm,0.9937171936035156
laerm,laerm,0.9879135489463806
laerm,laerm,0.9943931102752686
laerm,laerm,0.9948780536651611
laerm,laerm,0.6088067889213562
laerm,laerm,0.5358421206474304
laerm,vogel,0.5326085686683655
laerm,laerm,0.9448347091674805
laerm,laerm,0.9993904829025269
laerm,laerm,0.9552367329597473
laerm,laerm,0.9960125684738159
laerm,natur,0.5683556199073792
laerm,laerm,0.9910117387771606
laerm,laerm,0.8094730377197266
laerm,laerm,0.9861276149749756
laerm,laerm,0.9977268576622009
laerm,laerm,0.996632993221283
laerm,laerm,0.793884813785553
laerm,laerm,0.9951011538505554
laerm,laerm,0.981290876865387
laerm,laerm,0.9981837868690491
laerm,laerm,0.9889498353004456
laerm,laerm,0.998111367225647
laerm,laerm,0.989458441734314
laerm,laerm,0.9182709455490112
laerm,laerm,0.9917324781417847
laerm,laerm,0.9948299527168274
laerm,laerm,0.9717310070991516
laerm,laerm,0.5489729046821594
laerm,laerm,0.9978997707366943
laerm,vogel,0.5671020150184631
laerm,stille,0.702436625957489
laerm,laerm,0.9960708618164062
laerm,laerm,0.9965648055076599
laerm,laerm,0.9865281581878662
laerm,laerm,0.9978929162025452
laerm,laerm,0.9972098469734192
laerm,laerm,0.870246410369873
laerm,stille,0.6304024457931519
laerm,laerm,0.9988040924072266
laerm,laerm,0.9922606348991394
laerm,laerm,0.9096239805221558
laerm,laerm,0.9966663718223572
laerm,stille,0.9336593151092529
laerm,laerm,0.974170446395874
laerm,laerm,0.9872872829437256
laerm,laerm,0.997622549533844
laerm,laerm,0.9965140223503113
laerm,laerm,0.9972057938575745
laerm,laerm,0.9889956712722778
laerm,laerm,0.9980573058128357
laerm,laerm,0.9840993881225586
laerm,laerm,0.6038035750389099
laerm,laerm,0.997485876083374
laerm,laerm,0.997067391872406
laerm,laerm,0.99730384349823
laerm,laerm,0.9460574388504028
laerm,laerm,0.9904754757881165
laerm,laerm,0.7863341569900513
laerm,laerm,0.9877986311912537
laerm,laerm,0.9941656589508057
laerm,laerm,0.9891408681869507
laerm,laerm,0.7991660833358765
laerm,laerm,0.9982107877731323
laerm,stille,0.45667770504951477
laerm,laerm,0.9913799166679382
laerm,laerm,0.995940089225769
laerm,stille,0.5178201198577881
laerm,laerm,0.9967687129974365
laerm,laerm,0.9943377375602722
laerm,laerm,0.9655295014381409
laerm,laerm,0.9840182662010193
laerm,laerm,0.904396653175354
laerm,laerm,0.818132758140564
laerm,laerm,0.987091064453125
laerm,laerm,0.9970220923423767
laerm,laerm,0.9780899286270142
laerm,laerm,0.9074189066886902
laerm,laerm,0.9981405735015869
laerm,laerm,0.9149245023727417
laerm,laerm,0.9909446239471436
laerm,laerm,0.6285087466239929
laerm,laerm,0.9835366606712341
laerm,laerm,0.9954106211662292
laerm,laerm,0.9974755644798279
laerm,laerm,0.9963235855102539
laerm,laerm,0.9981926083564758
laerm,laerm,0.7726972103118896
laerm,laerm,0.9882807731628418
laerm,laerm,0.9941715598106384
laerm,laerm,0.9892176389694214
laerm,laerm,0.9959394931793213
laerm,vogel,0.7650179862976074
laerm,laerm,0.999725878238678
laerm,laerm,0.9909538626670837
laerm,laerm,0.9782895445823669
laerm,laerm,0.9954327344894409
laerm,laerm,0.8931048512458801
laerm,laerm,0.9874675869941711
laerm,laerm,0.998381495475769
laerm,laerm,0.9995595812797546
laerm,laerm,0.9970654845237732
laerm,laerm,0.9906007051467896
laerm,laerm,0.6978185772895813
laerm,laerm,0.9988034963607788
laerm,laerm,0.9935075044631958
laerm,vogel,0.7098840475082397
laerm,laerm,0.9977515339851379
laerm,laerm,0.9828073978424072
laerm,laerm,0.9725356101989746
laerm,vogel,0.8268380761146545
laerm,laerm,0.9973384737968445
laerm,laerm,0.756955623626709
laerm,vogel,0.7092371582984924
laerm,laerm,0.993061363697052
laerm,laerm,0.9651263356208801
laerm,laerm,0.7991178631782532
laerm,laerm,0.9938790798187256
laerm,laerm,0.9861828088760376
laerm,laerm,0.8225809335708618
laerm,laerm,0.9155586957931519
laerm,laerm,0.9970479607582092
laerm,laerm,0.996673583984375
laerm,laerm,0.49156495928764343
laerm,laerm,0.568884015083313
laerm,laerm,0.9971086382865906
laerm,laerm,0.9754855632781982
laerm,laerm,0.9972768425941467
laerm,laerm,0.7343713045120239
laerm,laerm,0.9980179071426392
laerm,laerm,0.9839296340942383
laerm,laerm,0.9826854467391968
laerm,laerm,0.990231454372406
laerm,laerm,0.9978570342063904
laerm,laerm,0.9970766305923462
laerm,laerm,0.9927769899368286
laerm,laerm,0.9149115681648254
laerm,laerm,0.9948086738586426
laerm,vogel,0.7149905562400818
laerm,laerm,0.9911901950836182
laerm,laerm,0.9864131212234497
laerm,laerm,0.9202387928962708
laerm,laerm,0.9816454648971558
laerm,laerm,0.986280083656311
laerm,vogel,0.533804714679718
laerm,laerm,0.9917382597923279
laerm,laerm,0.9315565228462219
laerm,laerm,0.8418322205543518
laerm,laerm,0.9958783388137817
laerm,laerm,0.9975123405456543
laerm,laerm,0.9969009160995483
laerm,vogel,0.9326101541519165
